Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
First,6,5,7,Right-handed,Right leg in first,On your left side,Dog,2
First,6,10,6,Right-handed,Right leg in first,On your left side,Dog,2
First,7,4,7,Right-handed,Right leg in first,On your left side,Dog,2
First,7,4,7.5,Right-handed,Right leg in first,On your left side,Dog,2
First,7,8,7,Right-handed,Right leg in first,On your left side,Dog,2
First,7,8,9,Right-handed,Right leg in first,On your left side,Dog,2
First,7,5,8,Left-handed,I don't know,On your right side,Dog,2
First,4,2,6,Right-handed,Left leg in first,On your right side,Dog,2
First,7,10,5,Right-handed,Left leg in first,On your right side,Dog,2
First,7,8,7,Left-handed,Right leg in first,On your right side,Dog,2
First,3,10,7,Right-handed,Right leg in first,On your right side,Dog,2
First,4,8,8,Right-handed,Right leg in first,On your right side,Dog,2
First,5,3,6.5,Right-handed,Right leg in first,On your right side,Dog,2
First,6,5,7,Right-handed,Right leg in first,On your right side,Dog,2
First,8,5,7,Right-handed,Right leg in first,On your right side,Dog,2
First,2,5,7,Right-handed,I don't know,On your stomach,Dog,2
First,5,6,7,Right-handed,Left leg in first,On your stomach,Dog,2
First,7,9,7,Left-handed,Right leg in first,On your stomach,Dog,2
First,8,7,8,Right-handed,Right leg in first,On your stomach,Dog,2
Fourth,4,4,6.5,Right-handed,Left leg in first,On your left side,Dog,2
Fourth,7,5,7,Right-handed,Right leg in first,On your left side,Dog,2
Fourth,4,5,6,Right-handed,Left leg in first,On your right side,Dog,2
Fourth,8,15,7,Right-handed,Right leg in first,On your right side,Dog,2
Graduate Student,9,6,8,Right-handed,Left leg in first,On your back,Dog,2
Second,7,4,7,Right-handed,I don't know,On your back,Dog,2
Second,7,9,7,Right-handed,I don't know,On your back,Dog,2
Second,8,10,5,Right-handed,I don't know,On your back,Dog,2
